black_id,black_rating
a-00,1191
skinnerua,1261
a-00,1500
adivanov2009,1454
adivanov2009,1469
franklin14532,1002
daniel_likes_chess,1423
soultego,2108
daniel_likes_chess,1392
mirco25,1209
anaissac,1272
subham777,1867
roman12342005,1936
alkhan,1607
sureka_akshat,1141
shivangithegenius,1094
sureka_akshat,1141
shivangithegenius,1094
slam_ment,1300
shivangithegenius,1094
lex_v1,1676
themannichreaction,1068
shivangithegenius,1094
shivangithegenius,1106
ivangonzalez123,1423
sureka_akshat,1219
shivangithegenius,1079
shivangithegenius,1038
biyanivedant01,1156
chinmaysharma,1148
shivangithegenius,1036
shivangithegenius,1002
shivangithegenius,1019
shamlanaseer,1500
shivangithegenius,975
sorethea,1832
shivangithegenius,978
jojo58,1500
shivangithegenius,978
shivangithegenius,978
shivangithegenius,978
shivangithegenius,978
shivangithegenius,978
shivangithegenius,978
shivangithegenius,978
shivangithegenius,978
jjwrchess,1500
shivangithegenius,978
shivangithegenius,978
shivangithegenius,978
balkarec,1500
shivangithegenius,978
lucasimeon,1500
shivangithegenius,978
gerfsh,1162
gerfsh,1500
wpc96,1458
wpc96,1442
tbaruel,1294
wpc96,1466
oldpaths,1579
david1488,1573
lc777,1605
oldpaths,1581
oldpaths,1568
oldpaths,1574
rubberchicken04,1596
oldpaths,1554
trump216bc,1461
efer003,1335
fcolpo,1470
oldpaths,1590
oldpaths,1588
sale0706,1547
oldpaths,1599
insequitur,1547
tb-123,1728
oldpaths,1579
iris_foxspring,2105
oldpaths,1560
geburah,1436
urmil007,1667
oldpaths,1549
oldpaths,1545
antoniogallero,1408
matheuswillx,1512
oldpaths,1532
euler_jr,1593
krillnor,1539
oldpaths,1548
hoanghieudro2,1418
oldpaths,1550
gabrielsol,1399
crushmik,1877
oldpaths,1535
remisero,1784
ryan94,1445
hollyandclaws,1500
anonymous1705,1714
ars01,1748
avelez8,1739
vincenzo2000,1855
avelez8,1729
pavankumarg,1388
mrmaccc,1806
avelez8,1728
avelez8,1738
avelez8,1750
frynoodles,1487
avelez8,1735
yolandoparada,1631
murattibogurcu,1396
hunecel,1760
cdvh,1795
cdvh,1784
japcan,1872
raubstein,1721
cdvh,1768
cdvh,1756
capito2017,1958
cdvh,1706
dashy1,925
sassou,1219
memoryberat,921
sassou,1201
alpheus23,1280
sassou,1212
kapi77,1341
cohiba_313,1359
bagelsfu,1236
sassou,1282
sassou,1276
maougnassou,1308
sassou,1266
popsun,1409
sassou,1277
marktop1,1336
sassou,1273
shobik24,1253
sassou,1233
agilm,1189
sassou,1204
sassou,1216
lumipa,1219
sassou,1227
sassou,1225
sassou,1234
sassou,1221
vladimir_shindin,1478
martin74,1626
sassou,1228
sassou,1210
sassou,1223
shazzam9999,1212
chessn00b47,1343
isachess,1862
roshan_ie,1852
isachess,1863
sergej1956,1918
pogrib,1844
tartetatin,1774
isachess,1862
robinhood76,1890
isachess,1840
isachess,1848
isachess,1858
jadesummer,1895
isachess,1856
borvel,1802
homayoni,1856
isachess,1837
maxpiz5,1806
philiveykk,1820
isachess,1849
isachess,1859
samdooley,1965
teguhmaster,1843
isachess,1866
dzigibau,1860
isachess,1874
isachess,1865
claudiucojo,1835
abikhoshnavaz,1829
sakkkakas,1846
isachess,1835
isachess,1845
nicolo97,1917
tajbo4,1790
isachess,1847
turix,1869
isachess,1836
isachess,1826
whfo,1267
taranga,1270
taranga,1281
taranga,1292
piroz_xucestih,1293
taranga,1317
taranga,1305
taranga,1305
vikrant_dalvi,1466
taranga,1299
jamila1234,1232
hknight_chess,2108
taranga,1289
taranga,1289
yugesh_naidu,1311
taranga,1289
andreas636,1484
armourbuddy,1810
taranga,1289
snapper,1500
taranga,1297
moon50,1485
italiantranslator,1211
taranga,1280
naoufel,1765
moon50,1454
taranga,1270
moon50,1534
moon50,1663
taranga,1238
hsanderr,1417
madara21,1732
taranga,1234
kingofchess2017,1219
dbschultz,1600
dbschultz,1617
nienkotter,1358
robin512,1325
jdominguez,1265
sam7neeee,1950
batatinhaazul,1249
thegrim123321,1389
baconneggs,1361
thegrim123321,1371
brainiac007,1429
danilo1961,1368
thegrim123321,1371
merthy70,1326
thegrim123321,1383
thegrim123321,1399
ranie123,1447
thegrim123321,1387
tecnoch,1351
dantesmontecristo,1339
gallosantoss,1400
thegrim123321,1389
thegrim123321,1378
ziogasparo14,1257
tcgil,1332
thegrim123321,1360
thegrim123321,1360
onafets26,1217
thegrim123321,1346
batuhh,1099
an73r05,1287
krishubhi,1555
eideral,1580
eideral,1547
eideral,1527
fva,1547
maumau62,1607
eideral,1557
arebest95,1632
eideral,1609
eideral,1558
abel4865,1730
eideral,1552
eideral,1552
atorius,1456
eideral,1478
grubear,1614
rangelelbano,1934
tabellaria,1613
tabellaria,1587
mattieuw2,1593
tabellaria,1546
snowden,1709
tabellaria,1527
blackphish,1379
jabar72,1501
tabellaria,1516
tabellaria,1495
little---a,1475
tabellaria,1440
xad55toque,1974
xtreh,1945
nadanadora,1611
nadanadora,1611
nadanadora,1611
qaisahleyorof,2059
googol100,1478
nadanadora,1552
googol100,1496
gatorman,1326
nadanadora,1500
ramirorldn,1557
vektor-mw,1577
eze33,1617
doom12384,1593
doom12384,1597
doom12384,1604
doom12384,1614
doom12384,1605
doom12384,1605
doom12384,1605
dimalesh,1475
doom12384,1605
doom12384,1605
jejeh,1500
doom12384,1605
jejeh,1500
doom12384,1605
bwalmer,1874
ajaysharma261253,1805
bwalmer,1861
yura_kudelia_12,1853
bwalmer,1863
wahana81,1609
tfeng,1607
ilkayus,1496
thesmallbang,1581
tfeng,1623
mikeu,1614
tfeng,1624
tfeng,1621
bishopkerry01,1684
tfeng,1619
kei0075,1617
facurezzo,1495
tfeng,1643
wahidmahmom90,1652
tfeng,1641
marcel55,1638
tfeng,1624
locomotora,1419
ewama,1659
tfeng,1639
tfeng,1627
tfeng,1636
traverru,1635
tmanu,1627
mstelles,1631
tfeng,1615
tfeng,1603
tfeng,1591
ironboy,1623
tfeng,1581
tfeng,1569
rmorais23,1555
eyany,1557
tfeng,1571
tfeng,1567
agusfil,1419
tfeng,1564
tfeng,1549
gardoim,1678
tfeng,1538
tienc12345,1921
elham1,1737
tienc12345,1887
tienc12345,1712
dmitriy8888,1568
arjunshenoyk,2132
iamasd1,1124
rustam9,951
b3nszy,1070
bohne,1149
rustam9,985
granham,1247
rustam9,961
fiksse,1129
rustam9,970
juniohispano,937
rainbowstream,1126
madmadge,1153
brainsurgery,1151
rustam9,1016
rustam9,1044
cromanoide,1200
ck666,1071
