id,Opening_code,opening_name,Opening_moves
TZJHLljE,D10,Slav Defense: Exchange Variation,5
l1NXvwaE,B00,Nimzowitsch Defense: Kennedy Variation,4
mIICvQHh,C20,King's Pawn Game: Leonardis Variation,3
kWKvrqYL,D02,Queen's Pawn Game: Zukertort Variation,3
9tXo1AUZ,C41,Philidor Defense,5
MsoDV9wj,B27,Sicilian Defense: Mongoose Variation,4
qwU9rasv,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,10
RVN0N3VK,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
dwF3DJHO,C50,Italian Game: Schilling-Kostic Gambit,6
afoMwnLg,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
HgKLWPsz,A00,Van't Kruijs Opening,1
Vf5fKWzI,C02,French Defense: Advance Variation |  Paulsen Attack,9
HRti5mKv,C00,French Defense: Knight Variation,3
2fEjSei6,C00,French Defense #2,2
u7i6dOaJ,C50,Four Knights Game: Italian Variation,8
guanvMR5,C57,Italian Game: Two Knights Defense |  Knight Attack,7
PmpkWkmm,C50,Four Knights Game: Italian Variation,8
EwaK0IsE,C50,Four Knights Game: Italian Variation,8
yrSDozT3,C41,Philidor Defense #3,5
x31mXlvc,D00,Queen's Pawn Game,2
oQklnWWp,C55,Italian Game: Anti-Fried Liver Defense,6
QFCZwY1f,A40,Horwitz Defense,2
5cgBygpI,B20,Sicilian Defense: Bowdler Attack,3
UhXXBOMY,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4
mCij4hBq,B21,Sicilian Defense: Smith-Morra Gambit #2,3
ifUMWtVj,D01,Queen's Pawn Game: Chigorin Variation,4
Wf0zuLQQ,C45,Scotch Game: Haxo Gambit,8
srz9QfSN,D01,Queen's Pawn Game: Chigorin Variation,4
NS6ccssb,D10,Slav Defense,4
M3vpf2Ki,D06,Queen's Gambit Refused: Marshall Defense,4
fXhNOnOn,B21,Sicilian Defense: Smith-Morra Gambit #2,3
DiCTkvZH,B52,Sicilian Defense: Canal Attack |  Main Line,6
FSkgvV2E,B27,Sicilian Defense,3
F1mRjzPr,D20,Queen's Gambit Accepted: Central Variation |  Greco Variation,6
Lq24M4KQ,B20,Sicilian Defense: Bowdler Attack,3
lHNM8cl5,B06,Robatsch (Modern) Defense,4
GfeEgLV3,D00,Blackmar-Diemer Gambit: Tartakower Variation,10
OR6aULrW,A45,Indian Game,2
Yg006qwa,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
G5S21pXK,A21,English Opening: King's English Variation |  Reversed Sicilian,3
R9a2DLwe,B70,Sicilian Defense: Dragon Variation,10
r4LcBZA7,B23,Sicilian Defense: Closed Variation,3
SDDXGw21,B21,Sicilian Defense: Smith-Morra Gambit #2,3
oqoT4DLS,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17
eSociDPG,B21,Sicilian Defense: Smith-Morra Gambit #2,3
mpzYDfIK,B20,Sicilian Defense: Bowdler Attack,3
27zreJYy,B01,Scandinavian Defense,2
IRYkgI8N,B20,Sicilian Defense: Bowdler Attack,3
tLnhk43J,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,17
iq3Kz06t,B01,Scandinavian Defense: Mieses-Kotroc Variation,4
AAw1TiNN,C00,French Defense: Normal Variation,3
n4vRYUCW,C21,King's Pawn Game: Beyer Gambit,4
KYPdQv8e,A80,Dutch Defense,2
p30PeXvE,A20,English Opening: King's English Variation,2
PBS4FEld,A04,Zukertort Opening: Ross Gambit,2
0lDqWVlz,B23,Sicilian Defense: Closed Variation,3
O3wdIwg7,C26,Vienna Game: Mengarini Variation,5
48ktrxLp,C41,Philidor Defense: Larsen Variation,8
i2GBGO0R,C44,Scotch Game,5
QZSTu1aT,C41,Philidor Defense: Lopez Countergambit,6
9tU9MM6P,C00,French Defense: Knight Variation,3
ztpC1S2c,A40,Modern Defense,2
qc8aH5XL,A40,Horwitz Defense,2
6sTz6t7D,E10,Blumenfeld Countergambit #2,6
XuyVUkDi,C00,French Defense #2,2
D5Oa4vGO,A04,Zukertort Opening: Kingside Fianchetto,2
6QAiH2Yy,A45,Indian Game,2
l7top9ps,C00,French Defense: Queen's Knight,3
nG3Of11I,D00,Queen's Pawn Game: Mason Attack,3
cUzM68JF,D00,Queen's Pawn Game: Mason Attack,3
NZSBXWl2,A41,Queen's Pawn,2
DHuXFP6C,A45,Indian Game,2
00R4UOcU,C02,French Defense: Advance |  Steinitz Variation,7
IN15cBnB,D00,Queen's Pawn Game: Mason Attack,3
WYOts2ME,C01,French Defense: Exchange Variation,5
oWFQ8mnz,A40,Horwitz Defense,2
i2I8y9Xh,D02,Queen's Pawn Game: London System,5
osPCRdxJ,C00,French Defense: Chigorin Variation,3
Mi1AmkiI,D02,Queen's Pawn Game: London System,5
7kK30TmL,C00,French Defense: La Bourdonnais Variation,3
ThCXomTn,D00,Queen's Pawn Game: Mason Attack,3
4dH72B3d,D02,Queen's Pawn Game: London System,5
4jRtIZTy,A10,English Opening: Anglo-Lithuanian Variation,2
wNK2HdLb,A00,Crab Opening,3
d62Tg4dc,D00,Queen's Pawn Game: Mason Attack,3
TaSQfvww,A40,Queen's Pawn,1
