white_id,white_rating
bourgris,1500
a-00,1322
ischia,1496
daniamurashov,1439
nik221107,1523
trelynn17,1250
capa_jr,1520
daniel_likes_chess,1413
ehabfanri,1439
daniel_likes_chess,1381
daniel_likes_chess,1381
daniel_likes_chess,1381
daniel_likes_chess,1381
daniel_likes_chess,1381
shivangithegenius,1094
sureka_akshat,1141
shivangithegenius,1094
sureka_akshat,1141
shivangithegenius,1094
g-ios,1500
shivangithegenius,1094
shivangithegenius,1094
storm28rus,1500
robotsmoke,1307
shivangithegenius,1113
shivangithegenius,1078
gmcarlsen403,1825
mannat1,1328
shivangithegenius,1056
shivangithegenius,1077
biyanivedant01,1358
rv0209,1200
vihaandumir,1203
shivangithegenius,1019
medovich,1422
shivangithegenius,976
rico21,1569
shivangithegenius,978
jojo58,1500
rajuppi,2449
white_queen_1990,1207
milestretch,1241
stephen789,1500
rajuppi,2443
hmbrgr,1500
jjwrchess,1500
shivangithegenius,978
adnanraj,1343
rajuppi,2436
rajuppi,2436
shivangithegenius,978
lucasimeon,1500
shivangithegenius,978
lucasimeon,1500
wing175,1521
caramiecho72,1407
mazyaraghgmail,1492
anrk,1414
wpc96,1457
acahn,1525
iskendermyucel,1207
oldpaths,1567
oldpaths,1578
jordanfury,1939
porquepepe,1618
gio1212,1755
oldpaths,1561
berejokserg,1500
oldpaths,1544
oldpaths,1563
oldpaths,1579
chesschumpchamp,1617
aminox,1207
oldpaths,1595
redar1,1855
oldpaths,1589
oldpaths,1571
tb-123,1720
oldpaths,1579
zoro55,1768
oldpaths,1552
oldpaths,1536
serai,1521
allahdeweswin,1251
oldpaths,1537
oldpaths,1522
euler_jr,1602
oldpaths,1543
oldpaths,1556
hoanghieudro2,1409
oldpaths,1539
ehabhaddad,1603
oldpaths,1542
oldpaths,1546
amary33,1134
oldpaths,1513
oldpaths,1501
lotfibma,1500
avelez8,1745
avelez8,1734
salah04,1942
avelez8,1724
majid_alsalhi,1951
avelez8,1726
avelez8,1735
hopefullman15,1597
laeca53,1743
totoymate,1721
avelez8,1746
jdalcheco,1744
avelez8,1749
avelez8,1769
cdvh,1795
hafedfree,1729
decem,1795
cdvh,1770
cdvh,1783
ashishbarda,1884
omid163,1756
cdvh,1724
chess-brahs,2036
cdvh,1706
mosheaugustyn,1244
sassou,1215
fatmat,1350
sassou,1210
sureka_akshat,1139
sassou,1220
sassou,1234
sassou,1275
sabayossi,1433
trelynn17,1132
sassou,1276
laeufer26,1228
sassou,1273
mdaboczi,1338
sassou,1263
rougethunder,1316
sassou,1248
maninayebi,1335
sassou,1223
pune123,1443
failedocean,1227
sassou,1215
fastandbulbous420,1227
minimouf,1550
goodolddaystr,1325
gonzalogp98,1212
sassou,1226
